methodA,methodB,isGolden,originalName,answerValue,answerer,wasDiscarded,modelProbability,answeredAt,sourceWinner,workerType,preferenceStrength,confidence,comparisonId,promptId,source,category,subjectStudy,highestLevelDegree
meta-llama/Llama-2-70b-chat-hf,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-c1fff00cf94e413383b6e56c01ac4b46,B,normal:wizardly_pare,,,2024-05-02 20:08:56.195295,B-is-slightly-better,normal,slightly,absolutely-confident,c1fff00cf94e413383b6e56c01ac4b46,004e07210cc84a21b601e5b201c363cd,anthropic/helpful-base,Open QA,Art and/or design,Arts & Humanities
meta-llama/Llama-2-70b-chat-hf,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-c1fff00cf94e413383b6e56c01ac4b46,B,normal:sad_bassi,,,2024-05-02 20:59:07.325142,B-is-clearly-better,normal,clearly,absolutely-confident,c1fff00cf94e413383b6e56c01ac4b46,004e07210cc84a21b601e5b201c363cd,anthropic/helpful-base,Open QA,Art and/or design,Arts & Humanities
gpt-4-turbo-2024-04-09,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-5f17f5e3cd3349e7a597c66bad8fc6a4,B,normal:clever_curie,,,2024-05-14 00:04:29.842507,B-is-slightly-better,normal,slightly,fairly-confident,5f17f5e3cd3349e7a597c66bad8fc6a4,0053321266ae42c5a95890e7b71247c4,anthropic/harmless-base,Chat,Management,Administration & Law
gpt-4-turbo-2024-04-09,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-5f17f5e3cd3349e7a597c66bad8fc6a4,draw,normal:mystifying_fermi,,,2024-05-14 00:06:00.214713,Tie,normal,tie,absolutely-confident,5f17f5e3cd3349e7a597c66bad8fc6a4,0053321266ae42c5a95890e7b71247c4,anthropic/harmless-base,Chat,Management,Administration & Law
allenai/tulu-2-70b,meta-llama/Llama-2-70b-chat-hf,False,multipref-1e97cb84db6d4a54ae40a1d834d85eac,B,normal:affectionate_dubinsky,,,2024-05-21 22:19:17.551424,B-is-slightly-better,normal,slightly,absolutely-confident,1e97cb84db6d4a54ae40a1d834d85eac,005f6552824640299aa0e815cb771603,anthropic/helpful-base,Brainstorm,Travel and Tourism,Social Sciences
allenai/tulu-2-70b,meta-llama/Llama-2-70b-chat-hf,False,multipref-1e97cb84db6d4a54ae40a1d834d85eac,B,normal:zealous_brahmagupta,,,2024-05-24 18:23:33.801543,B-is-slightly-better,normal,slightly,absolutely-confident,1e97cb84db6d4a54ae40a1d834d85eac,005f6552824640299aa0e815cb771603,anthropic/helpful-base,Brainstorm,Travel and Tourism,Social Sciences
allenai/tulu-2-70b,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-5e1ed7c399d8471f87414600c40795f6,B,normal:happy_visvesvaraya,,,2024-05-14 22:59:49.949024,B-is-clearly-better,normal,clearly,absolutely-confident,5e1ed7c399d8471f87414600c40795f6,005fb765575f410891653dbc6b732c7a,anthropic/helpful-base,Open QA,Leisure,"Engineering, manufacturing and construction"
allenai/tulu-2-70b,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-5e1ed7c399d8471f87414600c40795f6,B,normal:stupefied_murdock,,,2024-05-14 23:01:46.940694,B-is-clearly-better,normal,clearly,absolutely-confident,5e1ed7c399d8471f87414600c40795f6,005fb765575f410891653dbc6b732c7a,anthropic/helpful-base,Open QA,Leisure,"Engineering, manufacturing and construction"
allenai/tulu-2-7b,gpt-4-turbo-2024-04-09,False,multipref-8debbb7d85d0426884155fd650487b02,B,normal:nervous_nightingale,,,2024-05-13 19:36:53.213666,B-is-clearly-better,normal,clearly,absolutely-confident,8debbb7d85d0426884155fd650487b02,005fb765575f410891653dbc6b732c7a,anthropic/helpful-base,Open QA,Leisure,"Engineering, manufacturing and construction"
allenai/tulu-2-7b,gpt-4-turbo-2024-04-09,False,multipref-8debbb7d85d0426884155fd650487b02,B,normal:stupefied_murdock,,,2024-05-27 22:15:04.395958,B-is-clearly-better,normal,clearly,absolutely-confident,8debbb7d85d0426884155fd650487b02,005fb765575f410891653dbc6b732c7a,anthropic/helpful-base,Open QA,Leisure,"Engineering, manufacturing and construction"
gpt-3.5-turbo-0125,meta-llama/Llama-2-70b-chat-hf,False,multipref-88dda4fa9d084169ad9e929e01cd3b60,A,normal:vigorous_wing,,,2024-05-22 15:24:50.330279,A-is-slightly-better,normal,slightly,fairly-confident,88dda4fa9d084169ad9e929e01cd3b60,006484a9355944b4a6058c3e9c42831c,anthropic/harmless-base,Chat,Counselling,Social Sciences
gpt-3.5-turbo-0125,meta-llama/Llama-2-70b-chat-hf,False,multipref-88dda4fa9d084169ad9e929e01cd3b60,A,normal:nervous_shaw,,,2024-05-22 15:29:42.478755,A-is-slightly-better,normal,slightly,fairly-confident,88dda4fa9d084169ad9e929e01cd3b60,006484a9355944b4a6058c3e9c42831c,anthropic/harmless-base,Chat,Counselling,Social Sciences
allenai/tulu-2-7b,gpt-4-turbo-2024-04-09,False,multipref-5b9c17b0c2a541309c8a702e8a3c4182,draw,normal:peaceful_babbage,,,2024-05-22 10:19:37.356151,Tie,normal,tie,absolutely-confident,5b9c17b0c2a541309c8a702e8a3c4182,006484a9355944b4a6058c3e9c42831c,anthropic/harmless-base,Chat,Counselling,Social Sciences
allenai/tulu-2-7b,gpt-4-turbo-2024-04-09,False,multipref-5b9c17b0c2a541309c8a702e8a3c4182,draw,normal:affectionate_dubinsky,,,2024-05-22 10:21:51.833296,Tie,normal,tie,absolutely-confident,5b9c17b0c2a541309c8a702e8a3c4182,006484a9355944b4a6058c3e9c42831c,anthropic/harmless-base,Chat,Counselling,Social Sciences
gpt-3.5-turbo-0125,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-7f44c25a3cae40d3b2cada3d3d6bf40a,B,normal:xenodochial_rosalind,,,2024-05-03 06:42:30.833135,B-is-clearly-better,normal,clearly,absolutely-confident,7f44c25a3cae40d3b2cada3d3d6bf40a,00667ccf188549568c4795b834572db5,lmsys/chatbot_arena_conversations,Generation,Mathematics,Education
gpt-3.5-turbo-0125,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-7f44c25a3cae40d3b2cada3d3d6bf40a,A,normal:sad_bassi,,,2024-05-03 18:12:09.058323,A-is-slightly-better,normal,slightly,fairly-confident,7f44c25a3cae40d3b2cada3d3d6bf40a,00667ccf188549568c4795b834572db5,lmsys/chatbot_arena_conversations,Generation,Mathematics,Education
meta-llama/Llama-2-70b-chat-hf,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-7dc0853b417345c2ba85d5e4233fe2e4,A,normal:youthful_spence,,,2024-05-13 06:57:15.112145,A-is-clearly-better,normal,clearly,fairly-confident,7dc0853b417345c2ba85d5e4233fe2e4,00667ccf188549568c4795b834572db5,lmsys/chatbot_arena_conversations,Generation,Mathematics,Education
meta-llama/Llama-2-70b-chat-hf,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-7dc0853b417345c2ba85d5e4233fe2e4,B,normal:nostalgic_shockley,,,2024-05-13 07:34:08.751917,B-is-clearly-better,normal,clearly,absolutely-confident,7dc0853b417345c2ba85d5e4233fe2e4,00667ccf188549568c4795b834572db5,lmsys/chatbot_arena_conversations,Generation,Mathematics,Education
gpt-4-turbo-2024-04-09,meta-llama/Llama-2-70b-chat-hf,False,multipref-154a295cb2674e2385e2d5e8c7c67ba8,B,normal:quizzical_khorana,,,2024-05-22 16:13:26.588521,B-is-clearly-better,normal,clearly,absolutely-confident,154a295cb2674e2385e2d5e8c7c67ba8,00c642f5dd1d4677af174420cb5b8d4b,lmsys/chatbot_arena_conversations,Open QA,Computer Science,Information and Communication Technologies
gpt-4-turbo-2024-04-09,meta-llama/Llama-2-70b-chat-hf,False,multipref-154a295cb2674e2385e2d5e8c7c67ba8,draw,normal:quirky_fermi,,,2024-05-22 16:23:01.659285,Tie,normal,tie,random-guess,154a295cb2674e2385e2d5e8c7c67ba8,00c642f5dd1d4677af174420cb5b8d4b,lmsys/chatbot_arena_conversations,Open QA,Computer Science,Information and Communication Technologies
allenai/tulu-2-70b,meta-llama/Llama-2-70b-chat-hf,False,multipref-3bdb7d3e36be4ef0b69f054da377fc84,B,normal:vigorous_wing,,,2024-05-22 00:37:46.965086,B-is-slightly-better,normal,slightly,fairly-confident,3bdb7d3e36be4ef0b69f054da377fc84,00c642f5dd1d4677af174420cb5b8d4b,lmsys/chatbot_arena_conversations,Open QA,Computer Science,Information and Communication Technologies
allenai/tulu-2-70b,meta-llama/Llama-2-70b-chat-hf,False,multipref-3bdb7d3e36be4ef0b69f054da377fc84,A,normal:infallible_spence,,,2024-05-22 00:53:19.747057,A-is-clearly-better,normal,clearly,absolutely-confident,3bdb7d3e36be4ef0b69f054da377fc84,00c642f5dd1d4677af174420cb5b8d4b,lmsys/chatbot_arena_conversations,Open QA,Computer Science,Information and Communication Technologies
gpt-3.5-turbo-0125,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-a383daf94408492ba87cf128d2bd25a3,B,normal:compassionate_hermann,,,2024-05-24 19:26:33.454971,B-is-clearly-better,normal,clearly,absolutely-confident,a383daf94408492ba87cf128d2bd25a3,00d2d503f8134dba83c5d1215a4594cf,lmsys/chatbot_arena_conversations,Open QA,Sports,Social Sciences
gpt-3.5-turbo-0125,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-a383daf94408492ba87cf128d2bd25a3,B,normal:quirky_fermi,,,2024-05-11 00:33:45.218171,B-is-clearly-better,normal,clearly,fairly-confident,a383daf94408492ba87cf128d2bd25a3,00d2d503f8134dba83c5d1215a4594cf,lmsys/chatbot_arena_conversations,Open QA,Sports,Social Sciences
allenai/tulu-2-70b,gpt-4-turbo-2024-04-09,False,multipref-d0be61f1d511417f96d22ed5d15a3a16,draw,normal:admiring_montalcini,,,2024-05-21 19:18:25.735159,Tie,normal,tie,absolutely-confident,d0be61f1d511417f96d22ed5d15a3a16,00d2d503f8134dba83c5d1215a4594cf,lmsys/chatbot_arena_conversations,Open QA,Sports,Social Sciences
allenai/tulu-2-70b,gpt-4-turbo-2024-04-09,False,multipref-d0be61f1d511417f96d22ed5d15a3a16,B,normal:vigorous_wing,,,2024-05-21 19:20:31.704896,B-is-slightly-better,normal,slightly,fairly-confident,d0be61f1d511417f96d22ed5d15a3a16,00d2d503f8134dba83c5d1215a4594cf,lmsys/chatbot_arena_conversations,Open QA,Sports,Social Sciences
allenai/tulu-2-70b,meta-llama/Llama-2-70b-chat-hf,False,multipref-c40f9699138b4232a0e3e015798577f8,B,normal:zealous_boyd,,,2024-05-16 17:07:20.615003,B-is-clearly-better,normal,clearly,absolutely-confident,c40f9699138b4232a0e3e015798577f8,00db44b5b09f46acb0e170e71fb620c3,allenai/WildChat,Generation,Theatre/Dramatic Arts,Arts & Humanities
allenai/tulu-2-70b,meta-llama/Llama-2-70b-chat-hf,False,multipref-c40f9699138b4232a0e3e015798577f8,A,normal:practical_agnesi,,,2024-05-16 17:28:42.031789,A-is-clearly-better,normal,clearly,absolutely-confident,c40f9699138b4232a0e3e015798577f8,00db44b5b09f46acb0e170e71fb620c3,allenai/WildChat,Generation,Theatre/Dramatic Arts,Arts & Humanities
allenai/tulu-2-7b,gpt-4-turbo-2024-04-09,False,multipref-4706027399284b72aaf11c27cc2f6202,B,normal:cool_kalam,,,2024-05-24 17:38:12.161346,B-is-slightly-better,normal,slightly,fairly-confident,4706027399284b72aaf11c27cc2f6202,00dcb52bb9294acb9bc1d7c2c24f64bc,lmsys/sharegpt-vicuna,Generation,Education,Education
allenai/tulu-2-7b,gpt-4-turbo-2024-04-09,False,multipref-4706027399284b72aaf11c27cc2f6202,B,normal:thirsty_northcutt,,,2024-05-07 21:37:44.686550,B-is-clearly-better,normal,clearly,absolutely-confident,4706027399284b72aaf11c27cc2f6202,00dcb52bb9294acb9bc1d7c2c24f64bc,lmsys/sharegpt-vicuna,Generation,Education,Education
gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,False,multipref-04021431dca54014ac80d7e75f45d38b,A,normal:xenodochial_payne,,,2024-05-08 22:39:22.639913,A-is-slightly-better,normal,slightly,absolutely-confident,04021431dca54014ac80d7e75f45d38b,00dcb52bb9294acb9bc1d7c2c24f64bc,lmsys/sharegpt-vicuna,Generation,Education,Education
gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,False,multipref-04021431dca54014ac80d7e75f45d38b,draw,normal:suspicious_brown,,,2024-05-08 22:47:15.420736,Tie,normal,tie,absolutely-confident,04021431dca54014ac80d7e75f45d38b,00dcb52bb9294acb9bc1d7c2c24f64bc,lmsys/sharegpt-vicuna,Generation,Education,Education
allenai/tulu-2-7b,allenai/tulu-2-70b,False,multipref-7b4d3ec87c6445d9990a4a75df806333,B,normal:pedantic_noether,,,2024-05-15 00:21:53.739936,B-is-slightly-better,normal,slightly,fairly-confident,7b4d3ec87c6445d9990a4a75df806333,00dce94987404d86ba3a47057f3dcbf9,anthropic/helpful-base,Open QA,Sociology,Social Sciences
allenai/tulu-2-7b,allenai/tulu-2-70b,False,multipref-7b4d3ec87c6445d9990a4a75df806333,B,normal:vigilant_swirles,,,2024-05-15 00:36:42.449009,B-is-slightly-better,normal,slightly,fairly-confident,7b4d3ec87c6445d9990a4a75df806333,00dce94987404d86ba3a47057f3dcbf9,anthropic/helpful-base,Open QA,Sociology,Social Sciences
allenai/tulu-2-70b,meta-llama/Llama-2-70b-chat-hf,False,multipref-81c20e1103d1444ca37c6bdda38efa9f,draw,normal:unruffled_hoover,,,2024-05-08 01:53:20.222805,Tie,normal,tie,absolutely-confident,81c20e1103d1444ca37c6bdda38efa9f,00e208d1716549268d7acc6fecee6d3b,anthropic/helpful-base,Open QA,Health and Medicine,Health and welfare
allenai/tulu-2-70b,meta-llama/Llama-2-70b-chat-hf,False,multipref-81c20e1103d1444ca37c6bdda38efa9f,A,normal:festive_ardinghelli,,,2024-05-08 01:57:16.744941,A-is-slightly-better,normal,slightly,absolutely-confident,81c20e1103d1444ca37c6bdda38efa9f,00e208d1716549268d7acc6fecee6d3b,anthropic/helpful-base,Open QA,Health and Medicine,Health and welfare
allenai/tulu-2-7b,allenai/tulu-2-70b,False,multipref-765c2c793fd7490888b251d5a9041bd9,B,normal:wizardly_pare,,,2024-05-02 20:23:52.394868,B-is-slightly-better,normal,slightly,absolutely-confident,765c2c793fd7490888b251d5a9041bd9,00e208d1716549268d7acc6fecee6d3b,anthropic/helpful-base,Open QA,Health and Medicine,Health and welfare
allenai/tulu-2-7b,allenai/tulu-2-70b,False,multipref-765c2c793fd7490888b251d5a9041bd9,B,normal:nervous_nightingale,,,2024-05-26 20:40:35.954146,B-is-slightly-better,normal,slightly,absolutely-confident,765c2c793fd7490888b251d5a9041bd9,00e208d1716549268d7acc6fecee6d3b,anthropic/helpful-base,Open QA,Health and Medicine,Health and welfare
allenai/tulu-2-70b,meta-llama/Llama-2-70b-chat-hf,False,multipref-9c60e8a0356f40bda23275c03072a613,B,normal:modest_mirzakhani,,,2024-05-11 11:47:20.479335,B-is-clearly-better,normal,clearly,absolutely-confident,9c60e8a0356f40bda23275c03072a613,00eb85a9eb7c4618b12a8b02f716b195,anthropic/helpful-base,Open QA,Chemistry,Natural sciences
allenai/tulu-2-70b,meta-llama/Llama-2-70b-chat-hf,False,multipref-9c60e8a0356f40bda23275c03072a613,B,normal:loving_beaver,,,2024-05-27 21:07:43.465912,B-is-clearly-better,normal,clearly,fairly-confident,9c60e8a0356f40bda23275c03072a613,00eb85a9eb7c4618b12a8b02f716b195,anthropic/helpful-base,Open QA,Chemistry,Natural sciences
meta-llama/Llama-2-70b-chat-hf,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-163da37a34c445d1af7553f8bc33d7c2,B,normal:hungry_mclean,,,2024-05-07 03:24:11.466350,B-is-slightly-better,normal,slightly,fairly-confident,163da37a34c445d1af7553f8bc33d7c2,00eb85a9eb7c4618b12a8b02f716b195,anthropic/helpful-base,Open QA,Chemistry,Natural sciences
meta-llama/Llama-2-70b-chat-hf,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-163da37a34c445d1af7553f8bc33d7c2,B,normal:reverent_heisenberg,,,2024-05-07 03:35:22.538152,B-is-clearly-better,normal,clearly,absolutely-confident,163da37a34c445d1af7553f8bc33d7c2,00eb85a9eb7c4618b12a8b02f716b195,anthropic/helpful-base,Open QA,Chemistry,Natural sciences
gpt-4-turbo-2024-04-09,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-fad7b92d687a42eca8372218d679f2bb,draw,normal:youthful_spence,,,2024-05-07 23:57:04.558737,Tie,normal,tie,fairly-confident,fad7b92d687a42eca8372218d679f2bb,00ec83333b4747e5b11054823b904a84,anthropic/harmless-base,Open QA,Law,Health and welfare
gpt-4-turbo-2024-04-09,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-fad7b92d687a42eca8372218d679f2bb,B,normal:practical_hamilton,,,2024-05-07 23:53:43.059460,B-is-slightly-better,normal,slightly,fairly-confident,fad7b92d687a42eca8372218d679f2bb,00ec83333b4747e5b11054823b904a84,anthropic/harmless-base,Open QA,Law,Health and welfare
allenai/tulu-2-70b,meta-llama/Llama-2-70b-chat-hf,False,multipref-09be42593fb942d4ac935a52d94895ac,B,normal:nostalgic_bhabha,,,2024-05-13 21:42:16.261805,B-is-slightly-better,normal,slightly,fairly-confident,09be42593fb942d4ac935a52d94895ac,00ec83333b4747e5b11054823b904a84,anthropic/harmless-base,Open QA,Law,Health and welfare
allenai/tulu-2-70b,meta-llama/Llama-2-70b-chat-hf,False,multipref-09be42593fb942d4ac935a52d94895ac,B,normal:peaceful_golick,,,2024-05-13 21:47:46.407461,B-is-slightly-better,normal,slightly,fairly-confident,09be42593fb942d4ac935a52d94895ac,00ec83333b4747e5b11054823b904a84,anthropic/harmless-base,Open QA,Law,Health and welfare
gpt-3.5-turbo-0125,meta-llama/Llama-2-70b-chat-hf,False,multipref-0f5b8acdd3094bccac2ed0c1ad78888d,A,normal:xenodochial_payne,,,2024-05-13 01:10:07.950494,A-is-clearly-better,normal,clearly,absolutely-confident,0f5b8acdd3094bccac2ed0c1ad78888d,011a560ede10414cab44095076c42543,anthropic/harmless-base,Open QA,Law,Administration & Law
gpt-3.5-turbo-0125,meta-llama/Llama-2-70b-chat-hf,False,multipref-0f5b8acdd3094bccac2ed0c1ad78888d,draw,normal:quirky_fermi,,,2024-05-13 01:12:00.208116,Tie,normal,tie,fairly-confident,0f5b8acdd3094bccac2ed0c1ad78888d,011a560ede10414cab44095076c42543,anthropic/harmless-base,Open QA,Law,Administration & Law
gpt-4-turbo-2024-04-09,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-cd82cb9568514e6781a6420353b93e8b,A,normal:keen_williams,,,2024-05-02 03:05:37.552978,A-is-clearly-better,normal,clearly,absolutely-confident,cd82cb9568514e6781a6420353b93e8b,0124383f89bd40898b00f556c55a8a38,lmsys/sharegpt-vicuna,Brainstorm,Hospitality/Catering,Administration & Law
gpt-4-turbo-2024-04-09,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-cd82cb9568514e6781a6420353b93e8b,draw,normal:gracious_clarke,,,2024-05-02 03:13:27.787868,Tie,normal,tie,absolutely-confident,cd82cb9568514e6781a6420353b93e8b,0124383f89bd40898b00f556c55a8a38,lmsys/sharegpt-vicuna,Brainstorm,Hospitality/Catering,Administration & Law
allenai/tulu-2-7b,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-0b20fc526b08412d92acfb0535287298,draw,normal:loving_beaver,,,2024-05-22 16:49:36.005029,Tie,normal,tie,absolutely-confident,0b20fc526b08412d92acfb0535287298,0139209900944a5a8e3061dcbfee9767,lmsys/chatbot_arena_conversations,Coding,Computer Science,Information and Communication Technologies
allenai/tulu-2-7b,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-0b20fc526b08412d92acfb0535287298,draw,normal:quirky_fermi,,,2024-05-22 16:58:01.501015,Tie,normal,tie,absolutely-confident,0b20fc526b08412d92acfb0535287298,0139209900944a5a8e3061dcbfee9767,lmsys/chatbot_arena_conversations,Coding,Computer Science,Information and Communication Technologies
allenai/tulu-2-70b,meta-llama/Meta-Llama-3-70B-Instruct,False,multipref-7ed7967ec90541a698add4c8e5e45ff2,B,normal:quizzical_galileo,,,2024-05-11 10:53:04.916597,B-is-clearly-better,normal,clearly,absolutely-confident,7ed7967ec90541a698add4c8e5e45ff2,0139209900944a5a8e3061dcbfee9767,lmsys/chatbot_arena_conversations,Coding,Computer Science,Information and Communication Technologies
