methodA,methodB,isGolden,originalName,answerValue,answerer,wasDiscarded,modelProbability,answeredAt,sourceWinner
api-gpt-4o-search,ppl-sonar-pro,False,search-arena-17,draw,f331b6d376ba7be6601c711a2c260771928046d112b74a4847f12e49ba7f046b,,,2025-03-18 17:32:54.774,tie (bothbad)
api-gpt-4o-mini-search,ppl-sonar-reasoning,False,search-arena-18,draw,ab373ba670eade9a357b075a9625272238821caa415ee6012607bf98839bba76,,,2025-03-18 17:33:14.070,tie
api-gpt-4o-mini-search,ppl-sonar-pro,False,search-arena-19,A,6ad90cc26333d6daa47c842b2c04e27dc55377f32e8c8284305aa7a8f83a4257,,,2025-03-18 17:33:18.357,model_a
ppl-sonar-pro,api-gpt-4o-mini-search,False,search-arena-20,A,b0010b21d80bdd3de6055009239dfe888eea66a9db4c5bc10a5a2025bfda0a08,,,2025-03-18 17:34:15.651,model_a
api-gpt-4o-mini-search,ppl-sonar-reasoning,False,search-arena-21,B,6fe9ab44201576a72e6f728b1f9f781dd97ca4e6f053b5f088eea0888d6ebe7d,,,2025-03-18 17:34:18.542,model_b
api-gpt-4o-search,api-gpt-4o-mini-search,False,search-arena-22,draw,331cbfd4bac8975c2f615266d62ae5664a830bdfc5b3bd5827e3ff78f6e2c19e,,,2025-03-18 17:34:23.513,tie (bothbad)
api-gpt-4o-mini-search,ppl-sonar-pro,False,search-arena-23,A,f331b6d376ba7be6601c711a2c260771928046d112b74a4847f12e49ba7f046b,,,2025-03-18 17:34:35.795,model_a
ppl-sonar,api-gpt-4o-search,False,search-arena-24,A,331cbfd4bac8975c2f615266d62ae5664a830bdfc5b3bd5827e3ff78f6e2c19e,,,2025-03-18 17:34:38.432,model_a
ppl-sonar-reasoning,api-gpt-4o-search,False,search-arena-25,A,b0010b21d80bdd3de6055009239dfe888eea66a9db4c5bc10a5a2025bfda0a08,,,2025-03-18 17:34:58.547,model_a
api-gpt-4o-mini-search,ppl-sonar-reasoning,False,search-arena-26,draw,331cbfd4bac8975c2f615266d62ae5664a830bdfc5b3bd5827e3ff78f6e2c19e,,,2025-03-18 17:35:35.652,tie (bothbad)
ppl-sonar,api-gpt-4o-mini-search,False,search-arena-27,B,ab373ba670eade9a357b075a9625272238821caa415ee6012607bf98839bba76,,,2025-03-18 17:36:43.925,model_b
api-gpt-4o-search,ppl-sonar,False,search-arena-28,draw,22e07350737f96c731d01325f19bf8127da994d54c4587b243c85f05b2f5fed8,,,2025-03-18 17:38:42.170,tie (bothbad)
ppl-sonar,api-gpt-4o-mini-search,False,search-arena-29,A,f331b6d376ba7be6601c711a2c260771928046d112b74a4847f12e49ba7f046b,,,2025-03-18 17:39:04.588,model_a
api-gpt-4o-mini-search,api-gpt-4o-search,False,search-arena-30,draw,f331b6d376ba7be6601c711a2c260771928046d112b74a4847f12e49ba7f046b,,,2025-03-18 17:39:40.953,tie (bothbad)
ppl-sonar,api-gpt-4o-mini-search,False,search-arena-31,B,4b93617b9d3516f67a7877837ba285975687e822768abf1d1b5a988b58a8c576,,,2025-03-18 17:40:22.313,model_b
ppl-sonar-pro,ppl-sonar,False,search-arena-32,A,f331b6d376ba7be6601c711a2c260771928046d112b74a4847f12e49ba7f046b,,,2025-03-18 17:40:33.624,model_a
ppl-sonar-reasoning,ppl-sonar-pro,False,search-arena-33,A,22e07350737f96c731d01325f19bf8127da994d54c4587b243c85f05b2f5fed8,,,2025-03-18 17:41:00.561,model_a
ppl-sonar-pro,ppl-sonar,False,search-arena-34,B,22e07350737f96c731d01325f19bf8127da994d54c4587b243c85f05b2f5fed8,,,2025-03-18 17:42:03.711,model_b
api-gpt-4o-search,ppl-sonar-pro,False,search-arena-35,A,81f7494b14bcb5e132a11e55233376a7dd03c810522ed6107f698c172d0a57fa,,,2025-03-18 17:43:04.558,model_a
api-gpt-4o-search,ppl-sonar,False,search-arena-36,B,f331b6d376ba7be6601c711a2c260771928046d112b74a4847f12e49ba7f046b,,,2025-03-18 17:43:33.758,model_b
ppl-sonar,ppl-sonar-reasoning,False,search-arena-37,B,4b93617b9d3516f67a7877837ba285975687e822768abf1d1b5a988b58a8c576,,,2025-03-18 17:43:53.712,model_b
ppl-sonar-reasoning,ppl-sonar-pro,False,search-arena-38,A,a052434036c15939d6e07844aaba0a7522dbbd2ef0067e53aa27bf444956dc07,,,2025-03-18 17:43:57.502,model_a
api-gpt-4o-search,ppl-sonar-reasoning,False,search-arena-39,A,518bcc2c29661acbe34aaf44d72bbde5bc6df8b9ddf4fa66f749653a0b2008ae,,,2025-03-18 17:45:40.221,model_a
ppl-sonar-reasoning,ppl-sonar,False,search-arena-40,draw,f331b6d376ba7be6601c711a2c260771928046d112b74a4847f12e49ba7f046b,,,2025-03-18 17:46:09.366,tie (bothbad)
ppl-sonar,ppl-sonar-reasoning,False,search-arena-41,A,e90fb7cc06e517b77d2164fc3860fabe1a0b81164f280e68432a7c30a6b5674a,,,2025-03-18 17:46:13.016,model_a
api-gpt-4o-search,api-gpt-4o-mini-search,False,search-arena-42,A,7b44b60eeb403daf2e6fad8588b821754225cf76f4713fe58a17386ef08a841e,,,2025-03-18 17:46:31.914,model_a
ppl-sonar-reasoning,api-gpt-4o-search,False,search-arena-43,A,21d373c9cc3b2abda47dca617cfdc4a66b11f6e042d364a70e94dbb2a8b2f3be,,,2025-03-18 17:49:14.649,model_a
ppl-sonar-pro,api-gpt-4o-mini-search,False,search-arena-44,A,c352dcaf074c11a5bd4290954fa2d1813b44e690f2156885a2d0fb155ebed56e,,,2025-03-18 17:49:46.174,model_a
ppl-sonar-reasoning,api-gpt-4o-search,False,search-arena-45,A,7f18cc8827507a9146dc17b0749a82f63c346ce92fecaea1c78535ef85aa5eda,,,2025-03-18 17:50:41.889,model_a
ppl-sonar-reasoning,ppl-sonar,False,search-arena-46,B,df619a74d4bbf689842f6974eb901c4bcd77fe6aa3268f025ea9a9b1c976696d,,,2025-03-18 17:53:37.275,model_b
api-gpt-4o-search,ppl-sonar,False,search-arena-47,B,ad6156b05bcffffd13ab409c154e3fb972efb55a534889d81f9b20fe0142868c,,,2025-03-18 17:53:59.386,model_b
ppl-sonar,ppl-sonar-pro,False,search-arena-48,draw,df619a74d4bbf689842f6974eb901c4bcd77fe6aa3268f025ea9a9b1c976696d,,,2025-03-18 17:55:10.249,tie
ppl-sonar-reasoning,ppl-sonar,False,search-arena-49,draw,3484c65f58b2367657c47074b2df2bd2df8916f5cc74f4cd141a0eca502c8dce,,,2025-03-18 17:55:20.449,tie (bothbad)
api-gpt-4o-mini-search,ppl-sonar-reasoning,False,search-arena-50,A,3484c65f58b2367657c47074b2df2bd2df8916f5cc74f4cd141a0eca502c8dce,,,2025-03-18 17:55:50.357,model_a
api-gpt-4o-mini-search,ppl-sonar-reasoning,False,search-arena-51,A,3484c65f58b2367657c47074b2df2bd2df8916f5cc74f4cd141a0eca502c8dce,,,2025-03-18 17:56:50.648,model_a
ppl-sonar-reasoning,ppl-sonar-pro,False,search-arena-52,A,7da1498c708367f6c0a67814ae91e04a6917c9f995e9f142094f90bc1dcec66f,,,2025-03-18 17:57:01.147,model_a
api-gpt-4o-search,api-gpt-4o-mini-search,False,search-arena-53,draw,95de2ee7d9e32d5f63ac149e89080f38cbcf32129f21f7cbe01bb59612141138,,,2025-03-18 17:57:10.266,tie
ppl-sonar,api-gpt-4o-mini-search,False,search-arena-54,A,1b97a6c8de9d05f23aa5527489b47eeaf057e2369c1ec4014c5a7476ce8263c9,,,2025-03-18 17:59:12.442,model_a
ppl-sonar-reasoning,api-gpt-4o-search,False,search-arena-55,A,4b7a02b9dd90ba6d70ea67a3fcb5627ab301325b9e5ba3edff555bf9237bd535,,,2025-03-18 17:59:44.039,model_a
ppl-sonar-reasoning,api-gpt-4o-mini-search,False,search-arena-56,A,7da1498c708367f6c0a67814ae91e04a6917c9f995e9f142094f90bc1dcec66f,,,2025-03-18 18:00:03.313,model_a
ppl-sonar,api-gpt-4o-mini-search,False,search-arena-57,A,1b97a6c8de9d05f23aa5527489b47eeaf057e2369c1ec4014c5a7476ce8263c9,,,2025-03-18 18:00:09.510,model_a
api-gpt-4o-mini-search,ppl-sonar-reasoning,False,search-arena-58,A,43967d640b027a7057ce8825a903428a3af4df60fc096709306c5a4dec154d96,,,2025-03-18 18:00:52.636,model_a
api-gpt-4o-mini-search,ppl-sonar,False,search-arena-59,B,3e3c302cc8fbc6390cad63e757b22680ee42c67f5c0551470ee662a0c87c3b31,,,2025-03-18 18:01:20.536,model_b
api-gpt-4o-search,ppl-sonar,False,search-arena-60,A,f9c9ba0262d675144725d0482fe0979228999440b7b90e2ad2ad25e207b326fb,,,2025-03-18 18:02:16.961,model_a
ppl-sonar-reasoning,ppl-sonar-pro,False,search-arena-61,draw,847637975aee81a0662e6042d3a398421a1fccbeb5ab75be4f2301f924753868,,,2025-03-18 18:02:27.645,tie (bothbad)
ppl-sonar-reasoning,api-gpt-4o-search,False,search-arena-62,B,43967d640b027a7057ce8825a903428a3af4df60fc096709306c5a4dec154d96,,,2025-03-18 18:03:42.612,model_b
ppl-sonar-reasoning,api-gpt-4o-mini-search,False,search-arena-63,B,6fe9ab44201576a72e6f728b1f9f781dd97ca4e6f053b5f088eea0888d6ebe7d,,,2025-03-18 18:03:47.661,model_b
api-gpt-4o-search,api-gpt-4o-mini-search,False,search-arena-64,A,f9c9ba0262d675144725d0482fe0979228999440b7b90e2ad2ad25e207b326fb,,,2025-03-18 18:05:43.835,model_a
ppl-sonar-pro,ppl-sonar-reasoning,False,search-arena-65,A,43967d640b027a7057ce8825a903428a3af4df60fc096709306c5a4dec154d96,,,2025-03-18 18:07:27.783,model_a
api-gpt-4o-search,ppl-sonar-pro,False,search-arena-66,draw,9e95ecb8477d3dabfee91e41bcb2353829489b73057513c706d258cd4db10c74,,,2025-03-18 18:07:59.498,tie
api-gpt-4o-search,ppl-sonar-pro,False,search-arena-67,A,f9c9ba0262d675144725d0482fe0979228999440b7b90e2ad2ad25e207b326fb,,,2025-03-18 18:08:22.223,model_a
ppl-sonar-reasoning,api-gpt-4o-mini-search,False,search-arena-68,A,0ef1b609b51c5c509f4f095229d48b35061c68c1cc4b072dba4a60be263cc50f,,,2025-03-18 18:08:37.149,model_a
ppl-sonar-pro,api-gpt-4o-mini-search,False,search-arena-69,B,f331b6d376ba7be6601c711a2c260771928046d112b74a4847f12e49ba7f046b,,,2025-03-18 18:09:20.527,model_b
ppl-sonar-pro,api-gpt-4o-search,False,search-arena-70,A,08f085473db439642fc199cf8630277d90a0bba78daea9a2870891341358d973,,,2025-03-18 18:09:49.035,model_a
api-gpt-4o-search,ppl-sonar-reasoning,False,search-arena-71,A,f9c9ba0262d675144725d0482fe0979228999440b7b90e2ad2ad25e207b326fb,,,2025-03-18 18:10:41.471,model_a
ppl-sonar-pro,api-gpt-4o-search,False,search-arena-72,B,df619a74d4bbf689842f6974eb901c4bcd77fe6aa3268f025ea9a9b1c976696d,,,2025-03-18 18:13:39.815,model_b
ppl-sonar,api-gpt-4o-search,False,search-arena-73,A,f9c9ba0262d675144725d0482fe0979228999440b7b90e2ad2ad25e207b326fb,,,2025-03-18 18:14:18.412,model_a
api-gpt-4o-search,ppl-sonar-pro,False,search-arena-74,draw,df619a74d4bbf689842f6974eb901c4bcd77fe6aa3268f025ea9a9b1c976696d,,,2025-03-18 18:14:18.479,tie
ppl-sonar-pro,api-gpt-4o-mini-search,False,search-arena-75,A,3eb3fec59407c5b01c8937de0a944d752201181ab86002fa9e33cf6754333588,,,2025-03-18 18:15:16.612,model_a
ppl-sonar-reasoning,api-gpt-4o-mini-search,False,search-arena-76,A,4f81e19e2758407999b2f1681048002fcd92655c861aa5cbf25cefef35568f29,,,2025-03-18 18:15:33.465,model_a
ppl-sonar-reasoning,ppl-sonar-pro,False,search-arena-77,B,43967d640b027a7057ce8825a903428a3af4df60fc096709306c5a4dec154d96,,,2025-03-18 18:15:47.952,model_b
ppl-sonar-pro,ppl-sonar,False,search-arena-78,draw,4f81e19e2758407999b2f1681048002fcd92655c861aa5cbf25cefef35568f29,,,2025-03-18 18:16:50.892,tie
ppl-sonar,ppl-sonar-pro,False,search-arena-79,B,7b98719fb245a119902689ff14a472751122c7083f12491274586098b66ac453,,,2025-03-18 18:17:54.926,model_b
ppl-sonar-reasoning,ppl-sonar,False,search-arena-80,draw,cd25ac6ed9fe3e279e3c352d14d69776115543448893025b1b19dc0848ca3f00,,,2025-03-18 18:21:05.649,tie
ppl-sonar-reasoning,ppl-sonar,False,search-arena-81,draw,cd25ac6ed9fe3e279e3c352d14d69776115543448893025b1b19dc0848ca3f00,,,2025-03-18 18:21:05.649,tie (bothbad)
ppl-sonar,ppl-sonar-reasoning,False,search-arena-82,B,3e34b72eb9337bd7936168168b1eda9c595e50caaaf0d0111223f964bbc81023,,,2025-03-18 18:22:37.849,model_b
ppl-sonar-reasoning,ppl-sonar,False,search-arena-83,B,f40291e901d1dbf0c3e9c95e055d0fb6be043631a278eac171554cb14f8ba1c3,,,2025-03-18 18:22:42.926,model_b
ppl-sonar-reasoning,ppl-sonar,False,search-arena-84,A,43967d640b027a7057ce8825a903428a3af4df60fc096709306c5a4dec154d96,,,2025-03-18 18:24:00.166,model_a
ppl-sonar,ppl-sonar-pro,False,search-arena-85,B,9a07455bb87e7686390850f415e0cfd92122bf9f6d057878bc6f6244f9a211c7,,,2025-03-18 18:29:54.655,model_b
api-gpt-4o-mini-search,ppl-sonar-pro,False,search-arena-86,draw,22e07350737f96c731d01325f19bf8127da994d54c4587b243c85f05b2f5fed8,,,2025-03-18 18:30:47.937,tie (bothbad)
api-gpt-4o-search,ppl-sonar-pro,False,search-arena-87,A,e9dd26bc527553ba5eccd68cc1eca5edf1bc449b61bd16d7b6b68fc594f1c470,,,2025-03-18 18:31:39.400,model_a
ppl-sonar-pro,ppl-sonar-reasoning,False,search-arena-88,draw,22e07350737f96c731d01325f19bf8127da994d54c4587b243c85f05b2f5fed8,,,2025-03-18 18:31:57.056,tie
api-gpt-4o-search,api-gpt-4o-mini-search,False,search-arena-89,B,b05f89ee6968d1502dc0d7148f64033cd1b7cb7a265af3c802fb453abdcbe17b,,,2025-03-18 18:32:54.911,model_b
ppl-sonar-pro,api-gpt-4o-mini-search,False,search-arena-90,B,e9c34d79efbfa6d6263c72ee6600abf9b69b59e16ee71129bcc9c60d17fcf60a,,,2025-03-18 18:34:09.211,model_b
ppl-sonar-pro,ppl-sonar,False,search-arena-91,A,e9c34d79efbfa6d6263c72ee6600abf9b69b59e16ee71129bcc9c60d17fcf60a,,,2025-03-18 18:34:47.423,model_a
ppl-sonar-pro,ppl-sonar-reasoning,False,search-arena-92,B,db39475a60254c5415fabb511ddbdddf7c2a1bff1276dcb216da8bf352da6efe,,,2025-03-18 18:36:03.112,model_b
ppl-sonar-reasoning,ppl-sonar-pro,False,search-arena-93,B,e9c34d79efbfa6d6263c72ee6600abf9b69b59e16ee71129bcc9c60d17fcf60a,,,2025-03-18 18:37:59.043,model_b
api-gpt-4o-mini-search,api-gpt-4o-search,False,search-arena-94,draw,518092747e567eea278f262ccbb3c70ae4d0b28ce2874d19829cc40cd7fd835b,,,2025-03-18 18:38:19.103,tie (bothbad)
ppl-sonar-reasoning,ppl-sonar,False,search-arena-95,B,518092747e567eea278f262ccbb3c70ae4d0b28ce2874d19829cc40cd7fd835b,,,2025-03-18 18:41:27.926,model_b
ppl-sonar,api-gpt-4o-search,False,search-arena-96,A,43967d640b027a7057ce8825a903428a3af4df60fc096709306c5a4dec154d96,,,2025-03-18 18:43:19.644,model_a
api-gpt-4o-mini-search,ppl-sonar-reasoning,False,search-arena-97,B,43967d640b027a7057ce8825a903428a3af4df60fc096709306c5a4dec154d96,,,2025-03-18 18:44:44.444,model_b
ppl-sonar,api-gpt-4o-search,False,search-arena-98,B,a006975190c4114173b45734ec5764b9530b27e14731e31c09db48f5f387d246,,,2025-03-18 18:46:11.465,model_b
ppl-sonar-pro,ppl-sonar-reasoning,False,search-arena-99,A,43967d640b027a7057ce8825a903428a3af4df60fc096709306c5a4dec154d96,,,2025-03-18 18:48:46.912,model_a
ppl-sonar,api-gpt-4o-mini-search,False,search-arena-100,A,1607efb070ec22b649bc8f22d7cbdb79bb8197609fdd4abfe0b2f8533dae6104,,,2025-03-18 18:53:28.423,model_a
ppl-sonar-pro,ppl-sonar-reasoning,False,search-arena-101,A,045c7ce6c0d9c9c4fbb8ad0a72cfddbe605835d923fe5544ac2983c5082d5dfe,,,2025-03-18 18:55:22.266,model_a
ppl-sonar-reasoning,api-gpt-4o-mini-search,False,search-arena-102,B,46a833b618f740078cf36d46a2afbda32d45ea0911cd9f5825c3048c1b0d5f13,,,2025-03-18 18:57:45.011,model_b
api-gpt-4o-search,ppl-sonar,False,search-arena-103,draw,0e0b1a61920946f59ce682d6d04b2efdb13d7013457cfc4fab8d246caf3e76b3,,,2025-03-18 18:58:37.948,tie
ppl-sonar-pro,ppl-sonar-reasoning,False,search-arena-104,A,0e0b1a61920946f59ce682d6d04b2efdb13d7013457cfc4fab8d246caf3e76b3,,,2025-03-18 18:59:54.148,model_a
ppl-sonar-pro,ppl-sonar,False,search-arena-105,B,5e9540139a0180466088a74e7c25bb1a0a93ff369e922644edb38a2bde15b230,,,2025-03-18 19:03:59.812,model_b
ppl-sonar-reasoning,api-gpt-4o-mini-search,False,search-arena-106,draw,ca3026d2b01c0bf5df48f0c7ccd41d73bff17c1dfb0df8aa6d281d0f6e9b1171,,,2025-03-18 19:04:16.445,tie (bothbad)
api-gpt-4o-search,ppl-sonar-pro,False,search-arena-107,A,43967d640b027a7057ce8825a903428a3af4df60fc096709306c5a4dec154d96,,,2025-03-18 19:04:27.751,model_a
ppl-sonar-reasoning,ppl-sonar-pro,False,search-arena-108,A,2d91b199fc1275ca189187644c1c85e293f57de181cdc5e1efb9f71866c545b7,,,2025-03-18 19:04:46.949,model_a
ppl-sonar-pro,api-gpt-4o-mini-search,False,search-arena-109,draw,2d91b199fc1275ca189187644c1c85e293f57de181cdc5e1efb9f71866c545b7,,,2025-03-18 19:05:40.342,tie
ppl-sonar-pro,ppl-sonar-reasoning,False,search-arena-110,draw,57db622d02e58a8450b421f5cfe60b389ddcfa97dbe355eb3d17c31eaf6bef0c,,,2025-03-18 19:06:42.012,tie
api-gpt-4o-mini-search,ppl-sonar-reasoning,False,search-arena-111,B,4aa089e729c5ff793782b9eaf6e9e05e241787e8abfe68f963f9178dd1a3f773,,,2025-03-18 19:09:11.023,model_b
ppl-sonar-pro,ppl-sonar,False,search-arena-112,draw,463d66b3c0b11e172a428e84320cfdc2b8e065246f28b01611cb5574710f6400,,,2025-03-18 19:10:03.648,tie
ppl-sonar,api-gpt-4o-search,False,search-arena-113,A,cc77acd932cd27578e130feb0c54307b25ade820e9199e5aff9f37b675168f11,,,2025-03-18 19:11:01.831,model_a
api-gpt-4o-mini-search,ppl-sonar-pro,False,search-arena-114,draw,463d66b3c0b11e172a428e84320cfdc2b8e065246f28b01611cb5574710f6400,,,2025-03-18 19:11:47.555,tie
ppl-sonar,api-gpt-4o-search,False,search-arena-115,draw,38e728d37fca95a9eb08e074f74337a7bd8af32a37b13c0f2cf82c78df81e706,,,2025-03-18 19:11:48.451,tie
ppl-sonar,api-gpt-4o-search,False,search-arena-116,draw,38e728d37fca95a9eb08e074f74337a7bd8af32a37b13c0f2cf82c78df81e706,,,2025-03-18 19:11:48.451,tie
api-gpt-4o-search,api-gpt-4o-mini-search,False,search-arena-117,draw,463d66b3c0b11e172a428e84320cfdc2b8e065246f28b01611cb5574710f6400,,,2025-03-18 19:12:34.391,tie
ppl-sonar-reasoning,ppl-sonar-pro,False,search-arena-118,draw,463d66b3c0b11e172a428e84320cfdc2b8e065246f28b01611cb5574710f6400,,,2025-03-18 19:13:27.239,tie
ppl-sonar,ppl-sonar-reasoning,False,search-arena-119,draw,463d66b3c0b11e172a428e84320cfdc2b8e065246f28b01611cb5574710f6400,,,2025-03-18 19:16:03.340,tie
ppl-sonar-reasoning,ppl-sonar,False,search-arena-120,A,0271032a0cab6fce250b77b4c063130805ccba9d15c0e32f58a9f96ae3154aa4,,,2025-03-18 19:16:03.918,model_a
ppl-sonar-pro,ppl-sonar,False,search-arena-121,draw,463d66b3c0b11e172a428e84320cfdc2b8e065246f28b01611cb5574710f6400,,,2025-03-18 19:17:20.213,tie
ppl-sonar,ppl-sonar-pro,False,search-arena-122,draw,463d66b3c0b11e172a428e84320cfdc2b8e065246f28b01611cb5574710f6400,,,2025-03-18 19:18:02.134,tie
ppl-sonar-pro,api-gpt-4o-mini-search,False,search-arena-123,draw,7fedd78eab0f0a2a77d3bc26137f778b2505f226d84fdbdb74074a70e0cd2724,,,2025-03-18 19:21:14.927,tie
api-gpt-4o-mini-search,api-gpt-4o-search,False,search-arena-124,draw,4aa089e729c5ff793782b9eaf6e9e05e241787e8abfe68f963f9178dd1a3f773,,,2025-03-18 19:21:59.213,tie
ppl-sonar-pro,ppl-sonar-reasoning,False,search-arena-125,draw,b2f6d23b290c1b1df88fa6673113284ea0e1dbde6a3bce1bb35dd0cdb6ce1a28,,,2025-03-18 19:22:56.025,tie (bothbad)
ppl-sonar-pro,ppl-sonar-reasoning,False,search-arena-126,B,b2f6d23b290c1b1df88fa6673113284ea0e1dbde6a3bce1bb35dd0cdb6ce1a28,,,2025-03-18 19:22:56.025,model_b
ppl-sonar-pro,ppl-sonar-reasoning,False,search-arena-127,draw,b2f6d23b290c1b1df88fa6673113284ea0e1dbde6a3bce1bb35dd0cdb6ce1a28,,,2025-03-18 19:22:56.025,tie (bothbad)
ppl-sonar,ppl-sonar-pro,False,search-arena-128,draw,6ceca834e6766082ee17d259dcfcd3b45b3fd9626e915c5df8e4aeb2103c8c13,,,2025-03-18 19:22:59.473,tie
api-gpt-4o-mini-search,ppl-sonar-reasoning,False,search-arena-129,B,4aa089e729c5ff793782b9eaf6e9e05e241787e8abfe68f963f9178dd1a3f773,,,2025-03-18 19:23:34.625,model_b
api-gpt-4o-search,ppl-sonar,False,search-arena-130,A,a994f6f2777229b83b505fb7dee75d5a441cd870e421f820124bdca90a0dbb5e,,,2025-03-18 19:23:52.388,model_a
ppl-sonar-reasoning,ppl-sonar,False,search-arena-131,B,bb076cae5120126701f64f2b744d4f8c01e0714421b44a10a7056667971ca22a,,,2025-03-18 19:24:06.974,model_b
ppl-sonar,ppl-sonar-reasoning,False,search-arena-132,draw,4aa089e729c5ff793782b9eaf6e9e05e241787e8abfe68f963f9178dd1a3f773,,,2025-03-18 19:25:31.463,tie
ppl-sonar-reasoning,api-gpt-4o-search,False,search-arena-133,A,a994f6f2777229b83b505fb7dee75d5a441cd870e421f820124bdca90a0dbb5e,,,2025-03-18 19:25:32.675,model_a
ppl-sonar-pro,ppl-sonar-reasoning,False,search-arena-134,B,bb076cae5120126701f64f2b744d4f8c01e0714421b44a10a7056667971ca22a,,,2025-03-18 19:25:42.609,model_b
ppl-sonar,ppl-sonar-pro,False,search-arena-135,draw,ba0b3a284f1c699391b483d5a0665ea4bbc35cabaf58a0a089cbd8ae5a7adb43,,,2025-03-18 19:25:53.212,tie (bothbad)
ppl-sonar-reasoning,ppl-sonar-pro,False,search-arena-136,draw,a994f6f2777229b83b505fb7dee75d5a441cd870e421f820124bdca90a0dbb5e,,,2025-03-18 19:26:10.073,tie (bothbad)
ppl-sonar-pro,ppl-sonar,False,search-arena-137,draw,bb076cae5120126701f64f2b744d4f8c01e0714421b44a10a7056667971ca22a,,,2025-03-18 19:26:21.605,tie
api-gpt-4o-mini-search,ppl-sonar-reasoning,False,search-arena-138,draw,463d66b3c0b11e172a428e84320cfdc2b8e065246f28b01611cb5574710f6400,,,2025-03-18 19:27:06.846,tie
api-gpt-4o-mini-search,ppl-sonar-reasoning,False,search-arena-139,A,ba0b3a284f1c699391b483d5a0665ea4bbc35cabaf58a0a089cbd8ae5a7adb43,,,2025-03-18 19:27:20.425,model_a
ppl-sonar-pro,ppl-sonar-reasoning,False,search-arena-140,B,987cf852db9265b306803ae09411c4110250be30c58dcc31b5814a483fb222d5,,,2025-03-18 19:28:07.349,model_b
api-gpt-4o-search,ppl-sonar-pro,False,search-arena-141,B,023f8e28f2b51ef62a7adb0fdf06709b8004773b41ca38d9edf1f93b3e1a9099,,,2025-03-18 19:28:13.312,model_b
